seller-name,seller-type,layout_type,property_type,projName,location,val 2,unit,area,val 4,possession,number of bedrooms
Nature Realty,AGENT,BHK,Apartment,,Wakad,48.26,L,"5,704 / sq ft",Ready to move,East facing,2 BHK Property for Sale in Wakad Pune
Nature Realty,AGENT,BHK,Apartment,,Wakad,44.27,L,"5,727 / sq ft",Ready to move,East facing,2 BHK Property for Sale in Wakad Pune
Nature Realty,AGENT,BHK,Apartment,Pantheon Acorn Park,Wakad,53.58,L,"6,614 / sq ft",Ready to move,East facing,2 BHK Property for Sale in Wakad Pune
Nature Realty,AGENT,BHK,Apartment,Vilas Yashwin Supernova,Wakad,91.36,L,"6,895 / sq ft",Ready to move,East facing,3 BHK Property for Sale in Wakad Pune
Nature Realty,AGENT,BHK,Apartment,Vilas Yashwin Supernova,Wakad,72.46,L,"7,386 / sq ft",Ready to move,East facing,2 BHK Property for Sale in Wakad Pune
Nature Realty,AGENT,BHK,Apartment,,Wakad,91.36,L,"7,965 / sq ft",Ready to move,East facing,3 BHK Property for Sale in Wakad Pune
Nature Realty,AGENT,BHK,Apartment,,Wakad,69.37,L,"7,078 / sq ft",Ready to move,East facing,2 BHK Property for Sale in Wakad Pune
Omanda traders pvt Ltd,AGENT,BHK,Apartment,Supreme Belmac Residences,Wadgaon Sheri,1.96,Cr,"10,258 / sq ft",Under Construction,East facing,3 BHK Property for Sale in Wadgaon Sheri Pune
Omanda traders pvt Ltd,AGENT,BHK,Apartment,Supreme Belmac Residences,Wadgaon Sheri,1.95,Cr,"10,259 / sq ft",Under Construction,East facing,3 BHK Property for Sale in Wadgaon Sheri Pune
Omanda traders pvt Ltd,AGENT,BHK,Apartment,Supreme Belmac Residences,Wadgaon Sheri,1.94,Cr,"10,260 / sq ft",Under Construction,East facing,3 BHK Property for Sale in Wadgaon Sheri Pune
Omanda traders pvt Ltd,AGENT,BHK,Apartment,Bramha F Residences,Wadgaon Sheri,1.79,Cr,"8,463 / sq ft",Ready to move,New,4 BHK Property for Sale in Wadgaon Sheri Pune
Omanda traders pvt Ltd,AGENT,BHK,Apartment,Supreme Belmac Residences,Wadgaon Sheri,1.93,Cr,"10,261 / sq ft",Under Construction,East facing,3 BHK Property for Sale in Wadgaon Sheri Pune
Omanda traders pvt Ltd,AGENT,BHK,Apartment,Supreme Belmac Residences,Wadgaon Sheri,2.23,Cr,"9,964 / sq ft",Under Construction,East facing,3 BHK Property for Sale in Wadgaon Sheri Pune
Omanda traders pvt Ltd,AGENT,BHK,Apartment,Bramha F Residences,Wadgaon Sheri,1.05,Cr,"6,972 / sq ft",Ready to move,New,3 BHK Property for Sale in Wadgaon Sheri Pune
Omanda traders pvt Ltd,AGENT,BHK,Apartment,Supreme Belmac Residences,Wadgaon Sheri,1.92,Cr,"10,262 / sq ft",Under Construction,East facing,3 BHK Property for Sale in Wadgaon Sheri Pune
Omanda traders pvt Ltd,AGENT,BHK,Apartment,Supreme Belmac Residences,Wadgaon Sheri,1.91,Cr,"10,257 / sq ft",Under Construction,East facing,3 BHK Property for Sale in Wadgaon Sheri Pune
Omanda traders pvt Ltd,AGENT,BHK,Apartment,Bramha F Residences,Wadgaon Sheri,81,L,"7,142 / sq ft",Ready to move,New,2 BHK Property for Sale in Wadgaon Sheri Pune
Omanda traders pvt Ltd,AGENT,BHK,Apartment,Supreme Belmac Residences,Wadgaon Sheri,1.89,Cr,"10,258 / sq ft",Under Construction,East facing,2 BHK Property for Sale in Wadgaon Sheri Pune
Omanda traders pvt Ltd,AGENT,BHK,Apartment,Bramha Bramha The Collection,Wadgaon Sheri,77.6,L,"6,922 / sq ft",Under Construction,Possession by Dec 2026,2 BHK Property for Sale in Wadgaon Sheri Pune
Omanda traders pvt Ltd,AGENT,BHK,Apartment,Bramha F Residences,Wadgaon Sheri,1.78,Cr,"9,017 / sq ft",Ready to move,New,4 BHK Property for Sale in Wadgaon Sheri Pune
Omanda traders pvt Ltd,AGENT,BHK,Apartment,Bramha F Residences,Wadgaon Sheri,1.78,Cr,"9,017 / sq ft",Ready to move,New,4 BHK Property for Sale in Wadgaon Sheri Pune
Omanda traders pvt Ltd,AGENT,BHK,Apartment,Bramha F Residences,Wadgaon Sheri,1,Cr,"6,675 / sq ft",Ready to move,New,3 BHK Property for Sale in Wadgaon Sheri Pune
Omanda traders pvt Ltd,AGENT,BHK,Apartment,Bramha F Residences,Wadgaon Sheri,80,L,"7,142 / sq ft",Ready to move,New,2 BHK Property for Sale in Wadgaon Sheri Pune
Omanda traders pvt Ltd,AGENT,BHK,Apartment,Bramha Bramha The Collection,Wadgaon Sheri,77.4,L,"6,941 / sq ft",Under Construction,Possession by Dec 2026,2 BHK Property for Sale in Wadgaon Sheri Pune
Omanda traders pvt Ltd,AGENT,BHK,Apartment,Bramha Bramha The Collection,Wadgaon Sheri,77.1,L,"6,945 / sq ft",Under Construction,Possession by Dec 2026,2 BHK Property for Sale in Wadgaon Sheri Pune
Omanda traders pvt Ltd,AGENT,BHK,Apartment,Naiknavare Eminence Project 2,Viman Nagar,4.39,Cr,"9,066 / sq ft",Under Construction,East facing,4 BHK Property for Sale in Viman Nagar Pune
Omanda traders pvt Ltd,AGENT,BHK,Apartment,Bramha F Residences,Wadgaon Sheri,85,L,"7,142 / sq ft",Ready to move,New,2 BHK Property for Sale in Wadgaon Sheri Pune
Omanda traders pvt Ltd,AGENT,BHK,Apartment,Bhaktamar Residency,Wadgaon Sheri,70.8,L,"6,586 / sq ft",Under Construction,East facing,2 BHK Property for Sale in Wadgaon Sheri Pune
Omanda traders pvt Ltd,AGENT,BHK,Apartment,Naiknavare Eminence Project 2,Viman Nagar,4.11,Cr,"9,015 / sq ft",Under Construction,East facing,4 BHK Property for Sale in Viman Nagar Pune
Omanda traders pvt Ltd,AGENT,BHK,Apartment,Bramha F Residences,Wadgaon Sheri,2.3,Cr,"8,646 / sq ft",Ready to move,New,4 BHK Property for Sale in Wadgaon Sheri Pune
Omanda traders pvt Ltd,AGENT,BHK,Apartment,Naiknavare Eminence Project 2,Viman Nagar,3.62,Cr,"9,518 / sq ft",Under Construction,West facing,4 BHK Property for Sale in Viman Nagar Pune
Omanda traders pvt Ltd,AGENT,BHK,Apartment,Bhaktamar Residency,Wadgaon Sheri,70.66,L,"6,616 / sq ft",Ready to move,New,2 BHK Property for Sale in Wadgaon Sheri Pune
Omanda traders pvt Ltd,AGENT,BHK,Apartment,Bramha F Residences,Wadgaon Sheri,1.11,Cr,"7,133 / sq ft",Ready to move,New,3 BHK Property for Sale in Wadgaon Sheri Pune
Omanda traders pvt Ltd,AGENT,BHK,Apartment,Bhaktamar Residency,Wadgaon Sheri,70.52,L,"6,646 / sq ft",Ready to move,New,2 BHK Property for Sale in Wadgaon Sheri Pune
